freq,tra_meas,unit,geo\TIME_PERIOD	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,FR_LD,THS_T,FRE	: 	17680 	18783 	25552 	20545 	21053 	22082 	22317 	24173 	25694 	24923 	24985 	23200 	21534 	23722 	22311 	21910 	23649 	23639.14 	12202.42 	22466.04 	23037.93 	22338.52 	21988.75 	23690.89 	18889.81 	19289.2 
A,FR_LD,THS_T,FRE1	: 	17680 	18783 	25552 	20545 	21053 	22082 	22317 	24173 	25694 	24923 	24985 	23200 	21534 	23722 	22311 	21910 	23649 	23639.14 	12202.42 	22466.04 	23037.93 	22338.52 	21988.75 	23690.89 	18889.81 	19289.2 
A,FR_LD,THS_T,FRG	: 	6381 	5595 	6202 	5999 	5744 	6167 	6974 	7573 	7100 	7724 	7620 	7206 	8126 	8753 	9309 	8918 	8965 	8975.01 	4305.31 	9156.91 	10543.97 	7937.56 	7255.61 	3564.46 	6997.15 	7366.38 
A,FR_LD,THS_T,FRG0	: 	6381 	5595 	6202 	5999 	5744 	6167 	6974 	7573 	7100 	7724 	7620 	7206 	8126 	8753 	9309 	8918 	8965 	8975.01 	4305.31 	9156.91 	10543.97 	7937.56 	7255.61 	3564.46 	6997.15 	7366.38 
A,FR_LD,THS_T,FRH	: 	713 	744 	711 	684 	837 	870 	902 	845 	824 	822 	822 	801 	1062 	1012 	813 	1300 	1080 	808.05 	537.74 	714.39 	853.44 	787.08 	693.41 	821.04 	837.11 	809.82 
A,FR_LD,THS_T,FRH0	: 	713 	744 	711 	684 	837 	870 	902 	845 	824 	822 	822 	801 	1062 	1012 	813 	1300 	1080 	808.05 	537.74 	714.39 	853.44 	787.08 	693.41 	821.04 	837.11 	809.82 
A,FR_LD,THS_T,FRI	: 	8343 	9000 	8143 	7627 	7936 	8061 	6823 	6610 	6229 	6016 	7385 	8224 	8781 	8387 	7306 	8550 	7913 	8122.39 	3903.67 	6250.45 	6798.77 	6922.58 	6946.8 	6105.49 	6598.94 	5548.46 
A,FR_LD,THS_T,FRI1	: 	5704 	5742 	5360 	5444 	5276 	4837 	4645 	4340 	4113 	3860 	4271 	5111 	5107 	4717 	3894 	4011 	3525 	3528.4 	1558.53 	2901.03 	2659.96 	2574.5 	2693.99 	2721.32 	2389.45 	2154.03 
A,FR_LD,THS_T,FRI3	: 	2639 	3258 	2783 	2183 	2660 	3224 	2178 	2270 	2115 	2156 	3113 	3113 	3675 	3670 	3412 	4539 	4389 	4594 	2345.14 	3349.43 	4138.81 	4348.08 	4252.8 	3384.17 	4209.49 	3394.43 
A,FR_LD,THS_T,FRJ	: 	1510 	1400 	1496 	1399 	1389 	1350 	1246 	1319 	1386 	1132 	1143 	1033 	1329 	1678 	1311 	1390 	1108 	1242.7 	492.19 	1320.64 	1132.93 	1220.76 	1316.06 	1272.46 	1424.68 	1438.08 
A,FR_LD,THS_T,FRJ1	: 	1510 	1400 	1496 	1399 	1389 	1350 	1246 	1319 	1386 	1132 	1143 	1033 	1329 	1678 	1311 	1390 	1108 	1242.7 	492.19 	1320.64 	1132.93 	1220.76 	1316.06 	1272.46 	1424.68 	1438.08 
A,FR_LD,THS_T,FRL	: 	16419 	15941 	16956 	16875 	17236 	17568 	18669 	19230 	19180 	19078 	19445 	18680 	18251 	20061 	22293 	19638 	19538 	20973.34 	10221.8 	20039.04 	21370.72 	20661.89 	19735.76 	18751.92 	17923.87 	15783.54 
A,FR_LD,THS_T,FRL0	: 	16419 	15941 	16956 	16875 	17236 	17568 	18669 	19230 	19180 	19078 	19445 	18680 	18251 	20061 	22293 	19638 	19538 	20973.34 	10221.8 	20039.04 	21370.72 	20661.89 	19735.76 	18751.92 	17923.87 	15783.54 
A,FR_LD,THS_T,FRM	: 	: 	: 	: 	: 	: 	: 	: 	: 	709 	1032 	1188 	1324 	198 	270 	149 	153 	152 	145.7 	64.49 	108 	236.6 	766.95 	198.32 	187.71 	184.09 	176.03 
A,FR_LD,THS_T,FRM0	: 	: 	: 	: 	: 	: 	: 	: 	: 	709 	1032 	1188 	1324 	198 	270 	149 	153 	152 	145.7 	64.49 	108 	236.6 	766.95 	198.32 	187.71 	184.09 	176.03 
A,FR_LD,THS_T,FRY	: 	1603 	1557 	1759 	1577 	1516 	1791 	1853 	2029 	2007 	2176 	2413 	2095 	2145 	2043 	2263 	2013 	2292 	2058.48 	1216.87 	2309.08 	2205.38 	2352.53 	1945.08 	2498.38 	2294.85 	2167.8 
A,FR_LD,THS_T,FRY1	: 	325 	428 	414 	389 	349 	471 	424 	513 	643 	691 	845 	502 	503 	612 	781 	744 	684 	663.19 	328.49 	686.03 	673.43 	486.82 	398.31 	790.46 	800.64 	675.41 
A,FR_LD,THS_T,FRY2	: 	811 	727 	863 	716 	751 	826 	843 	985 	895 	925 	903 	1011 	938 	856 	901 	788 	1056 	910.19 	431.9 	640.83 	682.21 	696.31 	534.83 	372.89 	624.76 	758.91 
A,FR_LD,THS_T,FRY4	: 	468 	403 	482 	473 	417 	494 	586 	531 	469 	560 	664 	583 	704 	575 	581 	481 	552 	485.1 	456.48 	982.23 	849.75 	1169.4 	1011.94 	1335.03 	869.44 	733.47 
A,FR_LD,THS_T,HR	: 	: 	: 	: 	: 	: 	: 	: 	6862 	6750 	8715 	8340 	7742 	7753 	6387 	5726 	6069 	5322 	4640.89 	4390.46 	5146.62 	4824 	4609.51 	5812.72 	5765.7 	5715.73 	5618.3 
A,FR_LD,THS_T,HR0	: 	: 	: 	: 	: 	: 	: 	: 	6862 	6750 	8715 	8340 	7742 	7753 	6387 	5726 	6069 	5322 	4640.89 	4390.46 	5146.62 	4824 	4609.51 	5812.72 	5765.7 	5715.73 	5618.3 
A,FR_LD,THS_T,HR03	: 	: 	: 	: 	: 	: 	: 	: 	6862 	6750 	8715 	8340 	7742 	7753 	6387 	5726 	6069 	5322 	4640.89 	4390.46 	5146.62 	4824 	4609.51 	5812.72 	5765.7 	5715.73 	5618.3 
A,FR_LD,THS_T,IE	8500 	8953 	9294 	10415 	10214 	11487 	11723 	11703 	13080 	13224 	13544 	13393 	12695 	14186 	15069 	16240 	15097 	16126 	16841.3 	16812.2 	17497.06 	17562.44 	17418.81 	16903.81 	16990.96 	16656.36 	15852.32 
A,FR_LD,THS_T,IE0	8500 	8953 	9294 	10415 	10214 	11487 	11723 	11703 	13080 	13224 	13544 	13393 	12695 	14186 	15069 	16240 	15097 	16126 	16841.3 	16812.2 	17497.06 	17562.44 	17418.81 	16903.81 	16990.96 	16656.36 	15852.32 
A,FR_LD,THS_T,IE04	: 	: 	: 	: 	263 	278 	252 	304 	297 	250 	152 	164 	78 	125 	213 	616 	747 	972 	868.61 	741.47 	513.13 	583.03 	682.58 	552.44 	510.22 	418.76 	558.89 
A,FR_LD,THS_T,IE05	4560 	4894 	4551 	5232 	5317 	6600 	6382 	6032 	7050 	6845 	6963 	6713 	6675 	7263 	7658 	8189 	7196 	7510 	7972.37 	7399.09 	7876.68 	7569.05 	7394.6 	7189.73 	8080.29 	7560.48 	7238.37 
A,FR_LD,THS_T,IE06	3940 	4060 	4743 	5183 	4635 	4608 	5089 	5367 	5733 	6129 	6428 	6516 	5942 	6798 	7198 	7435 	7154 	7644 	8000.32 	8671.64 	9107.25 	9410.35 	9341.64 	9161.64 	8400.45 	8677.12 	8055.07 
A,FR_LD,THS_T,IT	132782 	133691 	127524 	122550 	116502 	128248 	136407 	141545 	156171 	157340 	170084 	163518 	149588 	165559 	167917 	166982 	155502 	155984 	162669.3 	163302.23 	167368.16 	185389.21 	189855.35 	173327.37 	176101.63 	180436.68 	189774.91 
A,FR_LD,THS_T,ITC	13338 	16472 	16899 	16427 	15953 	16096 	17629 	17518 	18117 	18719 	21231 	21438 	22867 	20304 	20836 	21562 	21317 	22200 	26128.86 	28172.64 	31376.13 	31878.52 	32533.21 	28795.59 	30272.67 	27574.43 	31801.41 
A,FR_LD,THS_T,ITC3	13338 	16472 	16899 	16427 	15953 	16096 	17629 	17518 	18117 	18719 	21231 	21438 	22867 	20304 	20836 	21562 	21317 	22200 	26128.86 	28172.64 	31376.13 	31878.52 	32533.21 	28795.59 	30272.67 	27574.43 	31801.41 
A,FR_LD,THS_T,ITF	32781 	28091 	26632 	30229 	28604 	33364 	35837 	39104 	42647 	44794 	46529 	44640 	38706 	45401 	43357 	42774 	36665 	39369 	36216.47 	37940.1 	37069.56 	39606.23 	34692.17 	37949.16 	34493.17 	38147.26 	45473.45 
A,FR_LD,THS_T,ITF1	73 	121 	217 	108 	105 	126 	74 	58 	63 	86 	75 	104 	56 	56 	97 	89 	49 	111 	68.55 	137.03 	123.63 	152.13 	106.96 	138.68 	106.22 	139.25 	127.94 
A,FR_LD,THS_T,ITF2	614 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,FR_LD,THS_T,ITF3	8826 	7194 	5981 	5721 	5565 	5965 	6605 	5494 	5353 	5733 	7209 	6086 	5699 	7182 	6126 	6091 	6233 	7885 	9210.81 	9305.58 	9564.66 	9570.2 	10029.33 	11896.66 	10765.3 	10597.43 	9394.98 
A,FR_LD,THS_T,ITF4	16162 	14782 	12378 	13502 	12548 	14442 	16162 	18863 	22110 	24369 	23680 	23156 	16084 	17584 	20314 	19304 	12720 	14046 	10582.98 	12483.89 	12605.6 	13394.91 	12434.41 	11182.28 	7957.21 	10258.27 	12538.98 
A,FR_LD,THS_T,ITF6	7106 	5993 	8056 	10898 	10387 	12832 	12997 	14689 	15121 	14607 	15566 	15293 	16867 	20579 	16821 	17291 	17663 	17327 	16354.13 	16013.6 	14775.68 	16489 	12121.48 	14731.55 	15664.44 	17152.3 	23411.55 
A,FR_LD,THS_T,ITG	56549 	59369 	53668 	48671 	46060 	51425 	56759 	59495 	64288 	61322 	65971 	63536 	52872 	62545 	66682 	64731 	62934 	58674 	57826.31 	55560.69 	56805.08 	62953.06 	68208 	56440.76 	62263.21 	62804.79 	69564.35 
A,FR_LD,THS_T,ITG1	32698 	35515 	31826 	30603 	30146 	34039 	37149 	38088 	43696 	38392 	41908 	37986 	30120 	41089 	43274 	41107 	38550 	36452 	33322.74 	31180.39 	35168.37 	39335.52 	41115.04 	37380.93 	40472.27 	39924.38 	44169.55 
A,FR_LD,THS_T,ITG2	23851 	23853 	21842 	18069 	15914 	17386 	19610 	21407 	20593 	22929 	24062 	25550 	22752 	21456 	23408 	23624 	24384 	22223 	24503.58 	24380.3 	21636.71 	23617.53 	27092.96 	19059.83 	21790.94 	22880.41 	25394.81 
A,FR_LD,THS_T,ITH	12522 	12424 	12336 	12828 	11769 	12612 	11177 	11267 	12485 	14420 	13961 	15538 	14886 	16696 	15844 	17334 	16463 	17425 	20724.3 	19028.17 	19958.5 	26164.82 	26424.24 	24118.01 	20601.56 	23070.95 	15817.42 
A,FR_LD,THS_T,ITH3	4401 	4220 	4182 	4622 	4112 	4155 	3792 	4067 	4718 	5608 	5363 	5727 	5210 	5539 	5304 	5725 	5835 	4590 	7776.24 	6493.31 	6156.07 	7077.97 	7951.29 	7052.45 	4967.37 	5153.41 	5074.34 
A,FR_LD,THS_T,ITH4	5269 	5299 	5682 	5362 	4952 	5362 	4358 	4332 	4730 	5571 	5261 	5922 	5505 	8339 	8177 	8601 	7473 	8449 	9140.06 	7422.31 	8029.69 	13367.94 	12242.37 	11950.4 	12050.57 	13170.58 	7011.16 
A,FR_LD,THS_T,ITH5	2852 	2905 	2473 	2845 	2705 	3095 	3027 	2869 	3037 	3241 	3337 	3888 	4170 	2817 	2363 	3009 	3154 	4385 	3808.01 	5112.55 	5772.73 	5718.91 	6230.58 	5115.16 	3583.62 	4746.97 	3731.93 
A,FR_LD,THS_T,ITI	17592 	17335 	17989 	14395 	14117 	14750 	15005 	14160 	16907 	16882 	21457 	17668 	17898 	20297 	21168 	20581 	17990 	18208 	21771.54 	22560.48 	22123.88 	24759.58 	26793.83 	26018.49 	28464.91 	28797.47 	26655.94 
A,FR_LD,THS_T,ITI1	10722 	10165 	10899 	9561 	9638 	10427 	10217 	9494 	11238 	11140 	14507 	10482 	11229 	12993 	13644 	12711 	12042 	11396 	14088.07 	14652.34 	14140.9 	15825.28 	18432.04 	18009.79 	18538.49 	19583.72 	18601.19 
A,FR_LD,THS_T,ITI3	3103 	3317 	3762 	2811 	2596 	2627 	2700 	2504 	2785 	2743 	3595 	4113 	3895 	4002 	3495 	3005 	2529 	3382 	3973.36 	4115.13 	4189.89 	4538.72 	4270.35 	3736.31 	4244.31 	3990.87 	3132.09 
A,FR_LD,THS_T,ITI4	3768 	3852 	3328 	2023 	1882 	1696 	2087 	2161 	2884 	2999 	3356 	3073 	2774 	3302 	4030 	4866 	3419 	3430 	3710.11 	3793.01 	3793.09 	4395.58 	4091.44 	4272.38 	5682.11 	5222.88 	4922.65 
A,FR_LD,THS_T,ITZ	: 	: 	: 	: 	: 	: 	: 	: 	1727 	1203 	935 	698 	2360 	316 	29 	: 	133 	108 	1.81 	40.17 	35.01 	27 	1203.91 	5.36 	6.12 	41.77 	462.33 
A,FR_LD,THS_T,ITZZ	: 	: 	: 	: 	: 	: 	: 	: 	1727 	1203 	935 	698 	2360 	316 	29 	: 	133 	108 	1.81 	40.17 	35.01 	27 	1203.91 	5.36 	6.12 	41.77 	462.33 
A,FR_LD,THS_T,LT	: 	: 	: 	: 	17478 	20616 	26146 	21470 	21435 	18769 	18346 	21020 	20605 	22422 	26630 	25261 	23621 	27065 	28512.96 	29518.97 	31541.03 	34007.93 	32865.66 	33262.57 	30624.67 	19292.37 	17144.58 
A,FR_LD,THS_T,LT0	: 	: 	: 	: 	17478 	20616 	26146 	21470 	21435 	18769 	18346 	21020 	20605 	22422 	26630 	25261 	23621 	27065 	28512.96 	29518.97 	31541.03 	34007.93 	32865.66 	33262.57 	30624.67 	19292.37 	17144.58 
A,FR_LD,THS_T,LT02	: 	: 	: 	: 	17478 	20616 	26146 	21470 	21435 	18769 	18346 	21020 	20605 	22422 	26630 	25261 	23621 	27065 	28512.96 	29518.97 	31541.03 	34007.93 	32865.66 	33262.57 	30624.67 	19292.37 	17144.58 
A,FR_LD,THS_T,LV	: 	: 	: 	: 	53525 	47670 	50094 	50242 	53975 	49205 	52204 	54068 	54501 	52166 	58212 	63016 	58233 	61990 	59927.98 	53202 	50453.68 	52827.04 	48792.25 	31839.6 	28862.76 	30644.07 	22936.68 
A,FR_LD,THS_T,LV0	: 	: 	: 	: 	53525 	47670 	50094 	50242 	53975 	49205 	52204 	54068 	54501 	52166 	58212 	63016 	58233 	61990 	59927.98 	53202 	50453.68 	52827.04 	48792.25 	31839.6 	28862.76 	30644.07 	22936.68 
A,FR_LD,THS_T,LV00	: 	: 	: 	: 	53525 	47670 	50094 	50242 	53975 	49205 	52204 	54068 	54501 	52166 	58212 	63016 	58233 	61990 	59927.98 	53202 	50453.68 	52827.04 	48792.25 	31839.6 	28862.76 	30644.07 	22936.68 
A,FR_LD,THS_T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	776 	1019 	1148 	964 	1828 	: 
A,FR_LD,THS_T,ME0	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	776 	1019 	1148 	964 	1828 	: 
A,FR_LD,THS_T,ME00	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	776 	1019 	1148 	964 	1828 	: 
A,FR_LD,THS_T,MT	: 	: 	: 	: 	: 	: 	441 	447 	182 	230 	151 	183 	164 	193 	217 	242 	260 	302 	288.97 	415.58 	434.85 	527.2 	634.84 	375.67 	398.66 	398.26 	1066.57 
A,FR_LD,THS_T,MT0	: 	: 	: 	: 	: 	: 	441 	447 	182 	230 	151 	183 	164 	193 	217 	242 	260 	302 	288.97 	415.58 	434.85 	527.2 	634.84 	375.67 	398.66 	398.26 	1066.57 
A,FR_LD,THS_T,MT00	: 	: 	: 	: 	: 	: 	441 	447 	182 	230 	151 	183 	164 	193 	217 	242 	260 	302 	288.97 	415.58 	434.85 	527.2 	634.84 	375.67 	398.66 	398.26 	1066.57 
A,FR_LD,THS_T,NL	88115 	84583 	91465 	89125 	87758 	94585 	91238 	100882 	109378 	117913 	129850 	133122 	139976 	152031 	163664 	171329 	171447 	174824 	175676.38 	180900.89 	184476.29 	186147.6 	187397.32 	180382.12 	183060.07 	172721.3 	164261.29 
A,FR_LD,THS_T,NL1	1817 	1988 	1773 	2060 	2163 	2008 	1838 	1628 	2159 	2072 	2159 	2248 	1748 	2831 	2264 	2162 	2297 	2002 	2461.84 	2185.75 	2324.64 	2374.07 	1905.87 	1962.61 	2201.66 	1813.17 	1894.16 
A,FR_LD,THS_T,NL11	1462 	1450 	1321 	1579 	1714 	1518 	1355 	1288 	1707 	1543 	1606 	1702 	1314 	2407 	2210 	2084 	2169 	1846 	2304.23 	2024.83 	2171.09 	2185.29 	1729.45 	1795.61 	1980.37 	1591.41 	1709.2 
A,FR_LD,THS_T,NL12	355 	538 	452 	480 	450 	490 	483 	340 	452 	529 	553 	545 	434 	424 	54 	78 	128 	156 	157.61 	160.92 	153.55 	188.78 	176.42 	167 	221.3 	221.77 	184.97 
A,FR_LD,THS_T,NL3	85707 	81724 	88828 	85724 	84002 	91038 	88141 	98125 	106196 	114741 	126556 	129437 	137091 	148042 	159249 	166736 	167080 	170399 	170750.16 	175670.21 	178687.32 	180526.86 	182258.76 	175460.2 	177569.38 	167521.55 	159493.11 
A,FR_LD,THS_T,NL32	10793 	9229 	10751 	12065 	14097 	15816 	13955 	16176 	17877 	21242 	23028 	26780 	25862 	26581 	26749 	29100 	28677 	30052 	31349.78 	33518.42 	34739.54 	35717.35 	37421.15 	35114.3 	34549.06 	32937.67 	31234.11 
A,FR_LD,THS_T,NL33	68654 	66663 	72280 	67986 	63107 	68533 	66868 	74449 	80789 	85757 	95710 	94552 	104363 	113369 	123391 	127693 	129033 	130020 	129147.57 	131545.94 	132477.79 	133426.64 	131879.87 	129163.71 	131414.51 	122310.41 	116880.92 
A,FR_LD,THS_T,NL34	6259 	5831 	5797 	5673 	6797 	6689 	7319 	7501 	7530 	7743 	7818 	8105 	6866 	8093 	9108 	9943 	9370 	10327 	10252.82 	10605.85 	11469.99 	11382.87 	12957.74 	11182.19 	11605.81 	12273.47 	11378.07 
A,FR_LD,THS_T,NL4	591 	871 	864 	1342 	1593 	1538 	1259 	1129 	1023 	1100 	1136 	1438 	1137 	1158 	2038 	2372 	1854 	2039 	2142 	2833.82 	3261.64 	3109 	3071.97 	2838.34 	3142.56 	3237.25 	2726.63 
A,FR_LD,THS_T,NL41	591 	871 	864 	1342 	1593 	1538 	1259 	1129 	1023 	1100 	1136 	1438 	1137 	1158 	2038 	2372 	1854 	2039 	2142 	2833.82 	3261.64 	3109 	3071.97 	2838.34 	3142.56 	3237.25 	2726.63 
A,FR_LD,THS_T,NLZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	112 	59 	215 	383 	322.38 	211.12 	202.7 	137.67 	160.72 	120.97 	146.47 	149.33 	147.38 
A,FR_LD,THS_T,NLZZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	112 	59 	215 	383 	322.38 	211.12 	202.7 	137.67 	160.72 	120.97 	146.47 	149.33 	147.38 
A,FR_LD,THS_T,NO	: 	: 	: 	: 	: 	114128 	110378 	123136 	124779 	124307 	124780 	116053 	109697 	121187 	127219 	127828 	130900 	125292 	125579.41 	128687.2 	130745.43 	125809.93 	129357.75 	144528.56 	147044.26 	139876.71 	146636.71 
A,FR_LD,THS_T,NO0	: 	: 	: 	: 	: 	105705 	103884 	109255 	110739 	113171 	109752 	100224 	96430 	105406 	105924 	106454 	107650 	104446 	105508.47 	106865.3 	111711.24 	106786.27 	109466.55 	122618.53 	124962.17 	116583.57 	125244.91 
A,FR_LD,THS_T,NO06	: 	: 	: 	: 	: 	1026 	1139 	1457 	1567 	1585 	1665 	1528 	1273 	1473 	1545 	1356 	1421 	1610 	1953.68 	1987.93 	1962.81 	2014.88 	1968.15 	1807.85 	1860.68 	1884.2 	1786.1 
A,FR_LD,THS_T,NO07	: 	: 	: 	: 	: 	14239 	15609 	17625 	17738 	17922 	18562 	16767 	14557 	24757 	23260 	25938 	28226 	32040 	32515.35 	31346.66 	31311.32 	30276.73 	30410.98 	31063.4 	28736.3 	30210.57 	30828.54 
A,FR_LD,THS_T,NO08	: 	: 	: 	: 	: 	2782 	2675 	3265 	3254 	3439 	3123 	2737 	2093 	2300 	2535 	2418 	2466 	2055 	2386.64 	2424.93 	17128.55 	15224.48 	16257.95 	14878.8 	13060.36 	12332.61 	13532.7 
A,FR_LD,THS_T,NO09	: 	: 	: 	: 	: 	11378 	12052 	12180 	11715 	13178 	13332 	13099 	10713 	12271 	12530 	12174 	12657 	12315 	13128.93 	11845.01 	13255.66 	13907.47 	13962.08 	13967.41 	14846.93 	12549.26 	13047.2 
A,FR_LD,THS_T,NO0A	: 	: 	: 	: 	: 	76281 	72408 	74728 	76465 	77048 	73069 	66093 	67794 	64606 	66053 	64568 	62880 	56426 	55523.87 	59260.77 	48052.92 	45362.72 	46867.4 	60901.08 	66457.89 	59606.93 	66050.36 
A,FR_LD,THS_T,NOZ	: 	: 	: 	: 	: 	8424 	6494 	13880 	14040 	11136 	15029 	15829 	13267 	15781 	21295 	21375 	23251 	20846 	20070.94 	21821.91 	19034.18 	19023.66 	19891.2 	21910.03 	22082.09 	23293.13 	21391.81 
A,FR_LD,THS_T,NOZZ	: 	: 	: 	: 	: 	8424 	6494 	13880 	14040 	11136 	15029 	15829 	13267 	15781 	21295 	21375 	23251 	20846 	20070.94 	21821.91 	19034.18 	19023.66 	19891.2 	21910.03 	22082.09 	23293.13 	21391.81 
A,FR_LD,THS_T,PL	: 	: 	: 	: 	31438 	33110 	35751 	35636 	38250 	33104 	26207 	20712 	22023 	30789 	23975 	24035 	28908 	29359 	29403.45 	31746.82 	29093.07 	30857.65 	30590.8 	33747.58 	34109.46 	33850.28 	39450.1 
A,FR_LD,THS_T,PL4	: 	: 	: 	: 	12951 	13919 	11744 	11422 	12487 	10143 	8101 	6871 	6988 	8985 	7358 	7871 	9482 	9671 	9067.36 	9700.12 	9340.82 	9245.32 	8790.12 	9585.67 	10659.11 	10411.93 	11298.2 
A,FR_LD,THS_T,PL42	: 	: 	: 	: 	12951 	13919 	11744 	11422 	12487 	10143 	8101 	6871 	6988 	8985 	7358 	7871 	9482 	9671 	9067.36 	9700.12 	9340.82 	9245.32 	8790.12 	9585.67 	10659.11 	10411.93 	11298.2 
A,FR_LD,THS_T,PL6	: 	: 	: 	: 	18487 	19191 	24006 	24214 	25763 	22961 	18106 	13841 	15035 	21804 	16617 	16164 	19426 	19687 	20336.08 	22046.7 	19752.26 	21612.33 	21800.68 	24161.92 	23450.36 	23438.36 	28151.9 
A,FR_LD,THS_T,PL63	: 	: 	: 	: 	18487 	19191 	24006 	24214 	25763 	22961 	18106 	13841 	15035 	21804 	16617 	16164 	19426 	19687 	20336.08 	22046.7 	19752.26 	21612.33 	21800.68 	24161.92 	23450.36 	23438.36 	28151.9 
A,FR_LD,THS_T,PT	12830 	12978 	12626 	12067 	12249 	12432 	14110 	15197 	16948 	19654 	20813 	21335 	19479 	22603 	23906 	25712 	32219 	33588 	35112.12 	35747.78 	36071.69 	34837.57 	32494.62 	32050.49 	33087 	32566.37 	30792.89 
A,FR_LD,THS_T,PT1	12830 	12978 	12626 	11996 	12162 	12330 	13997 	15071 	16374 	19051 	20206 	20756 	18946 	22077 	23240 	25154 	31710 	33150 	34603.24 	35199.76 	35520.13 	34107.33 	31809.29 	31344.69 	32310.26 	31711.95 	29943.06 
A,FR_LD,THS_T,PT11	2524 	2774 	2625 	3069 	2720 	2874 	2942 	3453 	3533 	3628 	4074 	4535 	3983 	3982 	5292 	6155 	6618 	6764 	6622.09 	5355.21 	6802.62 	6838.42 	7132.62 	6291.18 	5251.95 	4663.41 	4472.44 
A,FR_LD,THS_T,PT15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	146.26 	112.08 	7.05 	45.51 	78.02 	78.05 
A,FR_LD,THS_T,PT16	763 	645 	494 	491 	523 	543 	625 	664 	855 	1798 	2092 	2236 	2296 	2390 	2425 	2606 	3132 	3577 	3648.85 	3063.31 	3010.28 	3153.99 	2898.86 	2504.21 	2666.02 	3104.64 	2655.74 
A,FR_LD,THS_T,PT17	3884 	3966 	4276 	4251 	4195 	4753 	5911 	6030 	5976 	6709 	7226 	7329 	6260 	7529 	7863 	7437 	8947 	9503 	8729.9 	7446.02 	8317.42 	7218.88 	7418.81 	6393.38 	6509.66 	6900.38 	6758.84 
A,FR_LD,THS_T,PT18	5659 	5593 	5231 	4185 	4724 	4160 	4519 	4925 	6009 	6916 	6815 	6655 	6407 	8177 	7660 	8956 	13013 	13306 	15602.4 	19335.22 	17389.81 	16749.78 	14246.92 	16148.87 	17837.12 	16965.49 	15978 
A,FR_LD,THS_T,PT2	: 	: 	: 	: 	: 	: 	: 	: 	472 	466 	479 	450 	407 	395 	513 	413 	369 	302 	371.11 	404.12 	401.27 	582.99 	536.92 	572.8 	631.51 	702.6 	694.84 
A,FR_LD,THS_T,PT20	: 	: 	: 	: 	: 	: 	: 	: 	472 	466 	479 	450 	407 	395 	513 	413 	369 	302 	371.11 	404.12 	401.27 	582.99 	536.92 	572.8 	631.51 	702.6 	694.84 
A,FR_LD,THS_T,PT3	: 	: 	: 	71 	87 	101 	113 	125 	101 	138 	128 	130 	125 	131 	153 	146 	140 	136 	137.76 	143.89 	150.29 	147.25 	148.4 	133 	145.23 	151.83 	154.99 
A,FR_LD,THS_T,PT30	: 	: 	: 	71 	87 	101 	113 	125 	101 	138 	128 	130 	125 	131 	153 	146 	140 	136 	137.76 	143.89 	150.29 	147.25 	148.4 	133 	145.23 	151.83 	154.99 
A,FR_LD,THS_T,RO	: 	: 	: 	: 	: 	16767 	16181 	18223 	22577 	21723 	19991 	20520 	19256 	20337 	19989 	20627 	26017 	24621 	24482.66 	25311.21 	24502.21 	24541.06 	25941.37 	23498.27 	27198.53 	29918.13 	41060.32 
A,FR_LD,THS_T,RO2	: 	: 	: 	: 	: 	16767 	16181 	18223 	22577 	21723 	19991 	20520 	19256 	20337 	19989 	20627 	26017 	24621 	24482.66 	25311.21 	24502.21 	24541.06 	25941.37 	23498.27 	27198.53 	29918.13 	41060.32 
A,FR_LD,THS_T,RO22	: 	: 	: 	: 	: 	16767 	16181 	18223 	22577 	21723 	19991 	20520 	19256 	20337 	19989 	20627 	26017 	24621 	24482.66 	25311.21 	24502.21 	24541.06 	25941.37 	23498.27 	27198.53 	29918.13 	41060.32 
A,FR_LD,THS_T,SE	62976 	62419 	66845 	67403 	64717 	64265 	65982 	69991 	75208 	78190 	80335 	80393 	71814 	77510 	75857 	74696 	74863 	76596 	77542.21 	78187.35 	81979.47 	80531.28 	76496.88 	76909.67 	79807.45 	78413.62 	73780.78 
A,FR_LD,THS_T,SE1	6594 	7379 	7475 	6936 	7247 	7261 	7966 	8154 	8800 	8981 	9332 	9419 	6180 	5894 	6595 	5906 	6806 	8814 	7856.5 	7780.52 	6445.34 	5594.72 	6226.71 	6300.38 	7027.51 	7073.45 	5562.51 
