leit_plz,avg_lat,avg_lng
01,51.11176854742268,13.768565572164949
02,51.15401407446809,14.613340085106383
03,51.701574003124996,13.9804491625
04,51.297898146226416,12.593077032075472
06,51.51376271287879,11.799856492424242
07,50.73821065,11.761388916666668
08,50.594214567088606,12.369984218987343
09,50.7983651050505,12.89106613030303
10,52.50927414576271,13.383250632203389
11,51.165691,10.451526
12,52.458273396969695,13.462367356060605
13,52.541088848,13.282884762000002
14,52.32563305285714,12.802444472857141
15,52.21255182881356,13.701887910169491
16,52.75084403921568,13.060239039215686
17,53.65036949210526,13.381645361842105
18,54.126897723880596,12.531768517910448
19,53.461939400000006,11.500072391489363
20,53.45859154782609,10.010161117391304
21,53.44583393851852,9.896761959259258
22,53.587791359090915,10.0771138125
23,53.846588914772724,10.725135311363637
24,54.37992863560209,9.822533959685865
25,54.100136036551724,9.282655526206895
26,53.33062019375,7.750016257291667
27,53.18469551578947,8.858688251315789
28,53.0512587116279,8.85257055116279
29,52.85736434766355,10.543392728971963
30,52.382760552173906,9.727839286956522
31,52.25188388925619,9.549497843801651
32,52.14017080444444,8.80279742
33,51.87812398727272,8.61699029090909
34,51.25750811585365,9.343319537804877
35,50.69493847247706,8.607995838532108
36,50.698153987837834,9.72286431891892
37,51.56553821724138,9.933159433333334
38,52.18906525227273,10.649445706060607
39,52.20468859705882,11.591642177941177
40,51.225186869811324,6.8892452169811325
41,51.16674575,6.4938982863636365
42,51.23155482291667,7.1438530625
44,51.51132627868852,7.350498150819671
45,51.49271381710526,7.0985106078947355
46,51.66417043,6.75944063
47,51.46779820909091,6.54465491969697
48,52.080060501612905,7.436394651612903
49,52.498909318627454,7.869051855882353
50,50.93055238913043,6.866244815217391
51,50.97428071136364,7.245526265909091
52,50.80874927674419,6.2748941651162795
53,50.636618090666666,7.0713480613333335
54,49.92059166666667,6.676907020370371
55,49.87404574432989,7.826133074226803
56,50.33456619927536,7.497536167391305
57,50.821290980701754,7.894447145614035
58,51.3326963,7.584045370212765
59,51.569165628070174,8.015966989473684
60,50.15089143611111,8.717378844444445
61,50.278107623333334,8.662368413333333
63,50.04757425603448,9.120503423275862
64,49.7880554390625,8.753320521874999
65,50.25297180568182,8.373492336363636
66,49.33142178495575,7.182956501769912
67,49.52285697443181,8.077952948863636
68,49.45669999090909,8.52345926060606
69,49.42205630888889,8.768201377777777
70,48.77823680238095,9.178225733333333
71,48.8577971304878,9.168567540243902
72,48.43515798257576,9.043046693181818
73,48.75906191854839,9.737368429838709
74,49.23209856486486,9.378044637162162
75,48.88374973859649,8.719014552631577
76,49.023976866666665,8.309974884444445
77,48.49318044482759,8.065176393103448
78,48.00079143653846,8.69854567403846
79,47.99593385430464,7.9995163317880795
80,48.16276289459459,11.55039948918919
81,48.12115547027027,11.567127689189189
82,47.969569487962964,11.228548425
83,47.96449038541667,12.222443722916667
84,48.421771917322836,12.41870552519685
85,48.448728843478264,11.614254660869564
86,48.38270473397129,10.824494479904308
87,47.84535452980769,10.394984188461537
88,47.91131085630252,9.646486426890757
89,48.48925064830508,10.136276510169493
90,49.46351702295082,11.044107195081967
91,49.410198917500004,10.841167662
92,49.481237757407406,12.011415177777778
93,49.072295097142856,12.300912895238094
94,48.797105939869276,13.075217015032681
95,50.08067035438596,11.803763824561402
96,50.08504731666667,10.99542081372549
97,49.93660843999999,9.98350295590909
98,50.5883398095238,10.731628876190475
99,51.071354174999996,10.843627191666666
